"Nationale 3 - La Fontaine de Vaucluse - 2012-05-12","Course 1","2012-05-12","Nationale 3","176"
"Lise Denat","K1D","112.86","168.69","179.63",""
"Mana Thomas","K1D","113.58","192.35","186.73",""
"Armelle Canali","K1D","117.95","221.37","229.84",""
"Emma Croisier","K1D","119.48","301.9","244.94",""
"Melanie Palazy","K1D","119.63","303.67","246.41",""
"Charlotte Issagarre","K1D","124.69","304.4","296.32",""
"Marine Tournier","K1D","126.95","317.22","318.61",""
"Noa Bouchardon","K1D","127.89","288.36","327.88",""
"Alice Lachaudru","K1D","133.25","255.94","380.75",""
"Anouk Desbieys","K1D","134.48","333.61","392.89",""
"Barbara Lassechere","K1D","137.43","329.88","421.98",""
"Charlene Tabourin","K1D","138.98","304.7","437.27",""
"Oceane Michaud","K1D","147.82","261","524.47",""
"Angele Picco","K1D","150.09","459.82","546.86",""
"Laurie Anne Sabatier","K1D","151.58","354.45","561.56",""
"Clotilde Dumas","K1D","152.44","418.37","570.04",""
"Marine Izac","K1D","156.76","496.3","612.65",""
"Caroline Incardona","K1D","177.74","298.42","819.59",""
"Rachel Barriere","K1D","186.73","334.27","908.27",""
"Alysson Goyat","K1D","191.87","337.4","958.96",""
"Lolita Ferland","K1D","Nt","-","-",""
"Marie Boyer","K1D","Nt","-","-",""
"Marie Troyano","K1D","Nt","-","-",""
"Maxime Tilhet","K1H","92.16","172.21","93.63",""
"Vincent Bocci","K1H","92.53","137.08","97.75",""
"Alexis Lozachmeur","K1H","94.04","143.84","114.58",""
"Benoit Gaillard","K1H","94.32","157.28","117.7",""
"Tristan Levrien","K1H","96.32","191.81","140",""
"Quentin Raissac","K1H","96.51","139.49","142.11",""
"Benjamin Jacon","K1H","96.88","163.64","146.24",""
"Valentin Bigonet","K1H","97.22","178.5","150.03",""
"Remi Parayre","K1H","97.27","177.52","150.58",""
"Guillaume Gonzalez","K1H","97.62","361.13","154.49",""
"Alexandre Pouille","K1H","98.24","172.48","161.4",""
"Alexis Cordier","K1H","98.44","148.41","163.63",""
"Florian Bibron","K1H","98.89","226.17","168.64",""
"Vincent Garcia","K1H","99.12","175.15","171.2",""
"Ancelin Gourjault","K1H","99.35","197.33","173.77",""
"Baptiste Tappero","K1H","99.42","175.6","174.55",""
"Quentin Duhamel","K1H","99.9","212.77","179.9",""
"Romain Medale","K1H","100.21","159.89","183.35",""
"Mathieu Zorn","K1H","100.3","221.03","184.36",""
"Jose Pereira","K1H","100.33","241.47","184.69",""
"Guillaume Graille","K1H","100.36","166.06","185.03",""
"Christophe Prigent","K1H","100.55","195.05","187.14",""
"Marc Laborde","K1H","100.7","265.13","188.82",""
"Mathieu Charliac","K1H","100.99","209.56","192.05",""
"Sylvain Gaude","K1H","101.01","217.08","192.27",""
"Pierre De La Morinerie","K1H","101.21","215.51","194.5",""
"Gaetan Coat","K1H","101.21","213.21","194.5",""
"Axel Rodriguez","K1H","101.46","231.88","197.29",""
"Brice Desbieys","K1H","102.4","262.87","207.76",""
"Dimitri Thauvin","K1H","102.81","273.87","212.33",""
"Matthias Besse","K1H","103.01","220.71","214.56",""
"Audrick Ruiz","K1H","103.3","215.95","217.79",""
"Kevin Wos","K1H","103.9","331.59","224.48",""
"Jean Francois Bry","K1H","104.17","224.49","227.49",""
"Mathieu Serret","K1H","104.9","253.66","235.63",""
"Guillaume Affortit","K1H","104.99","256.09","236.63",""
"Vincent Alves","K1H","105.44","149.98","241.65",""
"Marc Anthoine Marchand","K1H","107.6","286.55","265.72",""
"Jacques Roisin","K1H","107.66","279.18","266.39",""
"Clement Sempastous","K1H","107.81","322.72","268.06",""
"Florian Fargier","K1H","107.96","247.3","269.73",""
"Gilles Tricard","K1H","108.18","323.91","272.19",""
"Julien Money","K1H","108.19","217.92","272.3",""
"Jonathan De Coninck","K1H","108.21","339.75","272.52",""
"Vincent Gardere","K1H","108.4","339.17","274.64",""
"Adrien Reinard","K1H","108.58","256.91","276.65",""
"Clement Rio","K1H","108.62","250.33","277.09",""
"Yannis Brousset","K1H","108.99","281.96","281.22",""
"Sebastien Riou","K1H","109.23","234.59","283.89",""
"Arthur Gaudron","K1H","109.67","262.83","288.79",""
"Romain Delpui","K1H","110.11","340.51","293.7",""
"Komlangan Gassou","K1H","110.34","307.34","296.26",""
"Anthony Randisi","K1H","110.59","-","299.05",""
"Raphael Larranaga","K1H","110.83","277.07","301.72",""
"Vincent Gisbert","K1H","110.87","285.22","302.17",""
"Anthony Poux","K1H","111.29","336.07","306.85",""
"Baptiste Podor","K1H","111.41","276.39","308.19",""
"Jeremy Lepoutre","K1H","112.13","355.57","316.21",""
"Jolan Konig","K1H","112.44","365.45","319.67",""
"Pablo Cabeza  Macuso","K1H","112.64","276.12","321.9",""
"David Pordoy","K1H","112.67","301.97","322.23",""
"Alex Piotte","K1H","112.87","224.95","324.46",""
"Clement Brumont","K1H","114.24","323.46","339.73",""
"Antoine Dumaye","K1H","115.05","293.84","348.76",""
"Teo Deconchy","K1H","115.11","320.32","349.43",""
"Edgar Prigent","K1H","115.5","257.77","353.78",""
"Benjamin Tindiliere","K1H","116.76","395.65","367.82",""
"Julien Toussaint","K1H","119.26","396.17","395.68",""
"Ollivier Paumier","K1H","119.31","377.04","396.24",""
"Jonas Mignard","K1H","120.04","397.82","404.38",""
"David Dih","K1H","121.59","379.8","421.65",""
"Louis Benezit","K1H","125.23","384.94","462.23",""
"Hadrien Dunant","K1H","126","509.41","470.81",""
"Dimitri Barriere","K1H","127.61","501.18","488.75",""
"Aurelien Fualdes","K1H","129.66","394.3","511.6",""
"Robin Genty","K1H","135.68","698.28","578.7",""
"Gabriel Chapoulie","K1H","137.65","594.37","600.66",""
"Arnaud Deletraz","K1H","138.47","531.61","609.8",""
"Fabien Lanao","K1H","142.48","211.3","654.49",""
"Maxime Benay","K1H","142.87","536.46","658.84",""
"Paul Roubaud","K1H","143.93","648.5","670.66",""
"Ange Bernard","K1H","144.68","683.36","679.02",""
"Maurice Pubert","K1H","149.09","593.77","728.17",""
"Elie Miquel","K1H","150.93","171.27","748.68",""
"Herve Clerc","K1H","151.01","193.62","749.57",""
"Marc Lalande","K1H","155.94","307.64","804.52",""
"Marc Scognamiglio","K1H","159.99","378.79","849.66",""
"Benoit Jacquot-bertrand","K1H","162.66","279.27","879.42",""
"Pierrealain Clerc","K1H","173.95","239.92","1005.26",""
"Adrien Tappero","K1H","215.34","226.61","1466.59",""
"Christophe Einsargueix","K1H","220.46","217.54","1523.66",""
"Cyril Audoit","K1H","Nt","-","-",""
"Emilien Senneret","K1H","Nt","-","-",""
"Bastien Benoit","K1H","Nt","-","-",""
"Morgan Meffre","K1H","Nt","-","-",""
"Marc Cailhol","K1H","Nt","-","-",""
"Corentin Quignard","K1H","Nt","-","-",""
"Galaad Pereyron","K1H","Nt","-","-",""
"Alexis Saut","K1H","Nt","-","-",""
"Hugo Balducci","K1H","Nt","-","-",""
"Leo Fournier","K1H","Nt","-","-",""
"Jean Saez","K1H","Nt","-","-",""
"Thibault Le Henaff","K1H","Nt","-","-",""
"Maxime Le Henaff","K1H","Nt","-","-",""
