"SELECTIF REGIONAL - La Malate  Besancon - 2003-10-12","Course 1","2003-10-12","Régional","89"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lalliet Olivier","C1H","197.28","48","43",""
"Lorrie Delattre","C1H","224.23","134","159",""
"Benjamin Ruman","C1H","239.04","221","222",""
"Mathieu Doby","C1H","320.71","-","575",""
"Bouhelier Renaud","C1H","444.21","-","1106",""
"Campioni Patrice","C1H","457.27","238","1163",""
"Gay Michel","C1H","554.15","235","1579",""
"Etienne Daille","C1H","593.62","-","1749",""
"Benjamin Maubert","C1H","639.42","-","1946",""
"Mathieu Fougere-Thomas Fougere","C2H","311.53","146","474",""
"Anneline Triomphe","K1D","227.81","43","130",""
"Aline Tornare","K1D","235.07","67","160",""
"Nelly Tornare","K1D","250.34","73","222",""
"Borg Julie","K1D","251.12","170","226",""
"Guindeo Mariepierre","K1D","254.42","142","239",""
"Jihane Samlal","K1D","266.08","236","287",""
"Mylene Renaud","K1D","282.94","310","356",""
"Bruet Amelie","K1D","284.41","257","362",""
"Audrey Metz","K1D","294.38","263","403",""
"Marlene Devillez","K1D","298.24","325","419",""
"Vanderkam Buisson Maelle","K1D","300.36","286","428",""
"Frotey Floriane","K1D","314.63","249","487",""
"Anais Couturier","K1D","323.95","322","525",""
"Paviot Laetitia","K1D","345.68","304","614",""
"Sylvie Metz","K1D","370.73","222","717",""
"Virginie Aubert","K1D","387.54","-","786",""
"Fanny Mino-vercellio","K1D","532.15","194","1380",""
"Doby Julie","K1D","601.31","327","1664",""
"Pellegrini Aurore","K1D","1072.56","1956","3601",""
"Mathieu Doby","K1H","198.27","45","89",""
"Jean Christophe Boivin","K1H","201.09","58","103",""
"Gregory Busson","K1H","203.93","108","115",""
"Renaud Doby","K1H","204.38","128","117",""
"Piquard Gregoire","K1H","207.56","75","132",""
"Nizar Samlal","K1H","209.93","157","142",""
"Benjamin Buys","K1H","215.97","133","170",""
"Nicolas Labat","K1H","218.19","130","180",""
"Benoit Fer","K1H","224.33","132","207",""
"Thomas Bersinger","K1H","224.72","166","209",""
"Yann Gudefin","K1H","227.89","219","224",""
"Lebourgeois Alexis","K1H","230.67","226","237",""
"Lemaire Maxime","K1H","231.20","187","238",""
"Maxime Faivre","K1H","232.04","187","242",""
"Jules Bevalot","K1H","240.33","234","280",""
"Brugvin Thierry","K1H","240.65","-","282",""
"Fabien Hantz","K1H","242.20","-","288",""
"Jonathan Chapatte","K1H","243.25","176","293",""
"Beucler Yann","K1H","246.20","-","306",""
"Pascal Ferry","K1H","251.71","275","331",""
"Noize Martial","K1H","252.96","-","337",""
"Olivier Mittler","K1H","257.99","295","360",""
"Martelet Romain","K1H","258.30","303","361",""
"Labouille Yannick","K1H","261.73","253","376",""
"Balducci Hugo","K1H","270.02","-","414",""
"Philippe Godinat","K1H","278.82","-","454",""
"Etienne Daille","K1H","281.10","-","464",""
"Dallazuana Anthony","K1H","281.70","303","467",""
"Alain Ferry","K1H","283.54","288","475",""
"Alexandre Schall","K1H","287.04","122","491",""
"Olivier Urbain","K1H","290.70","279","508",""
"Nicolas Pinot","K1H","298.50","342","543",""
"Dougoud Adrien","K1H","311.33","-","600",""
"Faivre-Pierret Nicolas","K1H","315.21","488","618",""
"Christophe Godinat","K1H","317.11","-","627",""
"Biton Jonas","K1H","324.99","469","662",""
"Dalla-Zuana Christophe","K1H","329.06","276","681",""
"Kevin Schultz","K1H","329.90","256","685",""
"Luc Doye","K1H","330.12","161","686",""
"Jeanpierre Patard","K1H","333.92","414","703",""
"Froissard Jonathan","K1H","347.48","316","764",""
"Philippe Chapatte","K1H","348.76","-","770",""
"Alix Pouillard","K1H","356.89","-","807",""
"Rety Simon","K1H","363.42","547","836",""
"Emmanuel Colajanni","K1H","363.66","463","837",""
"Emmanuel Triomphe","K1H","366.53","-","851",""
"Bonnot Aurélien","K1H","369.98","797","866",""
"Bouhelier Renaud","K1H","389.76","-","955",""
"Mathieu Bandelier","K1H","402.22","224","1012",""
"Jean Guyot","K1H","424.52","388","1112",""
"Frederic Caillet","K1H","444.47","-","1203",""
"Beauce Antoine","K1H","458.22","-","1265",""
"Guillaume Bandelier","K1H","478.45","-","1357",""
"Pascal Garnier","K1H","513.64","415","1516",""
"Pharizat David","K1H","629.52","-","2039",""
"Thomas Bouquet","K1H","700.82","-","2361",""
"Morel Jeremie","K1H","703.99","-","2375",""
"Girardet Julien","K1H","724.46","-","2468",""
"Charlot Bertrand","K1H","794.75","-","2786",""
"Laithier Francois","K1H","915.54","-","3332",""
