"SÈlectif RÈgional de Slalom - Sr Slalom De Troyes - Course n∞1 | Finale - 2017-09-23","Course n∞1 | Finale","2017-09-23","RÈgional","210"
"Guillaume Gonseth","C1H","173.7","412.75","1057.56","Course n∞1 | Finale A"
"Antonin Dreit","C1H","Dsq","-","-","Course n∞1 | Finale A"
"Loann Delle Dananchet","C1HM","127.09","506.95","507.57","Course n∞1 | Finale A"
"Anthony Menissier","C1HM","127.91","491.52","517.25","Course n∞1 | Finale A"
"Jules Latimier","C1HM","132.52","521.61","571.65","Course n∞1 | Finale A"
"Tanguy Malingre","C1HM","133.29","543.83","580.73","Course n∞1 | Finale A"
"Noah Fresneda","C1HM","146.96","677.8","742.03","Course n∞1 | Finale A"
"Clara Hulin-Zoe Laurent","C2DM","Nt","-","-","Course n∞1 | Finale A"
"Jean Charles Hacquart-Marvin Tulpin","C2H","116.3","322.34","317.88","Course n∞1 | Finale A"
"Emilien Kempf-Alexis Collin","C2H","118.85","-","346.59","Course n∞1 | Finale A"
"Louison Tanet-Emmanuel Walczak","C2H","121.89","-","380.84","Course n∞1 | Finale A"
"Philippe Thevenin-Olivier Urbain","C2H","125.87","351.09","425.67","Course n∞1 | Finale A"
"Charles Billon-Dyclan Plessis","C2H","139.91","-","583.81","Course n∞1 | Finale A"
"Antoine Pas-Thomas Argenson","C2H","151.98","636.47","719.76","Course n∞1 | Finale A"
"Christophe Billaud-Elodie Delavelle","C2M","138.36","391.18","436.48","Course n∞1 | Finale A"
"Gaelle Aumer-Olivier Urbain","C2M","146.36","495.57","519.08","Course n∞1 | Finale A"
"Amaurie Guilleret-Cyprien Dufour","C2M","147.12","-","526.93","Course n∞1 | Finale A"
"Emilie Ballan-Matthieu Walfard","C2M","147.96","-","535.6","Course n∞1 | Finale A"
"Stanislas Ledore-Mylene Guilcher","C2MM","270.75","-","1803.37","Course n∞1 | Finale A"
"Caroline Bourry","K1D","106.38","159.42","174.34","Course n∞1 | Finale A"
"Viviana Daille","K1D","108.33","153.77","195.72","Course n∞1 | Finale A"
"Flora Bove","K1D","113.87","211.99","256.46","Course n∞1 | Finale A"
"Justine Clerc","K1D","118.96","311.04","312.26","Course n∞1 | Finale A"
"Jeanne Bernard","K1D","122.71","307.26","353.38","Course n∞1 | Finale A"
"Nelia Barbosa","K1D","125.73","367.53","386.49","Course n∞1 | Finale A"
"Elodie Delavelle","K1D","126.49","283.5","394.83","Course n∞1 | Finale A"
"Maœa Gombert","K1D","127.63","347.42","407.33","Course n∞1 | Finale A"
"Jessica Joyau","K1D","133.26","394.93","469.05","Course n∞1 | Finale A"
"Fiona Gille","K1D","134.16","474.26","478.93","Course n∞1 | Finale A"
"Margaux Barbier","K1D","155.73","535.05","715.42","Course n∞1 | Finale A"
"Camille Hurez","K1D","Dsq","-","-","Course n∞1 | Finale A"
"Pauline Clerc","K1DM","137.28","405.45","513.14","Course n∞1 | Finale A"
"Melyne Jost","K1DM","138.15","397.01","522.68","Course n∞1 | Finale A"
"Mylene Guilcher","K1DM","151.05","458.42","664.12","Course n∞1 | Finale A"
"Souhayla Khattabi","K1DM","197.55","-","1173.95","Course n∞1 | Finale A"
"Alyssa Lhomme","K1DM","296.37","515.5","2257.44","Course n∞1 | Finale A"
"Robin Pottelette","K1H","95.3","129.11","188.69","Course n∞1 | Finale A"
"Lucas Galmiche","K1H","96.63","154.58","205.17","Course n∞1 | Finale A"
"Benoit Chantry","K1H","97.04","142.08","210.25","Course n∞1 | Finale A"
"Jean Charles Hacquart","K1H","99.36","229.21","238.99","Course n∞1 | Finale A"
"Emilien Kempf","K1H","100.69","274.46","255.47","Course n∞1 | Finale A"
"Lucas Correia","K1H","100.84","272.69","257.33","Course n∞1 | Finale A"
"Lucas Augu","K1H","101.55","225.92","266.12","Course n∞1 | Finale A"
"Maxime Aubertin","K1H","101.9","286.83","270.46","Course n∞1 | Finale A"
"Loœc Pottier","K1H","102.55","300.06","278.51","Course n∞1 | Finale A"
"Erwan Rouch","K1H","104.36","221.87","300.94","Course n∞1 | Finale A"
"Andreas Dupuy","K1H","105.13","207.27","310.48","Course n∞1 | Finale A"
"Jean Christophe Boivin","K1H","105.73","273.34","317.91","Course n∞1 | Finale A"
"Anthony Rouhier","K1H","106.15","317.66","323.12","Course n∞1 | Finale A"
"Kevin Rancon","K1H","106.32","296.09","325.22","Course n∞1 | Finale A"
"Yann Becker","K1H","107.06","265.69","334.39","Course n∞1 | Finale A"
"Patrice Campioni","K1H","107.07","330.85","334.51","Course n∞1 | Finale A"
"Eden Quevremont","K1H","107.54","333.09","340.34","Course n∞1 | Finale A"
"Loric Bertrand Delorme","K1H","107.93","290.08","345.17","Course n∞1 | Finale A"
"Matthieu Walfard","K1H","108.97","353.16","358.06","Course n∞1 | Finale A"
"Olivier Urbain","K1H","109.01","341.61","358.55","Course n∞1 | Finale A"
"Eddy Cassard","K1H","110.09","330.84","371.93","Course n∞1 | Finale A"
"Victor Paulais","K1H","110.46","317.98","376.52","Course n∞1 | Finale A"
"Louison Tanet","K1H","111.26","319.63","386.43","Course n∞1 | Finale A"
"Guillaume Maraquin","K1H","111.67","-","391.51","Course n∞1 | Finale A"
"Thomas Lesage","K1H","113.53","453.12","414.55","Course n∞1 | Finale A"
"Enzo Claeys","K1H","113.58","458.21","415.17","Course n∞1 | Finale A"
"Bastien Moreaux","K1H","113.73","438.18","417.03","Course n∞1 | Finale A"
"Antoine Pas","K1H","114.44","390.94","425.83","Course n∞1 | Finale A"
"Benjamin Dubert","K1H","114.75","430.75","429.67","Course n∞1 | Finale A"
"Aurelien Merieux Danneaux","K1H","114.9","351.81","431.53","Course n∞1 | Finale A"
"Christophe Billaud","K1H","115.03","420.66","433.14","Course n∞1 | Finale A"
"Collin Pouradier","K1H","116.07","363.83","446.02","Course n∞1 | Finale A"
"Jerome Talbot","K1H","116.29","430.12","448.75","Course n∞1 | Finale A"
"Florian Torche","K1H","117.08","330.4","458.54","Course n∞1 | Finale A"
"Leonard Painteaux","K1H","117.86","426.62","468.2","Course n∞1 | Finale A"
"Matthew Vuillard","K1H","117.95","469.59","469.31","Course n∞1 | Finale A"
"Nicolas Castagnetti","K1H","118.25","507.52","473.03","Course n∞1 | Finale A"
"Guillaume Cochut","K1H","121.33","447.79","511.19","Course n∞1 | Finale A"
"Julien Michelin","K1H","122.57","-","526.55","Course n∞1 | Finale A"
"Matheo Dejonghe","K1H","123.42","471.74","537.09","Course n∞1 | Finale A"
"Guerlain Robin","K1H","166.9","376.4","1075.79","Course n∞1 | Finale A"
"Emmanuel Walczak","K1H","Nt","-","-","Course n∞1 | Finale A"
"Theo Reby","K1HM","107.83","349.44","343.93","Course n∞1 | Finale A"
"Theo Douady","K1HM","108.78","346.58","355.7","Course n∞1 | Finale A"
"Antonin Robert","K1HM","112.4","353.89","400.55","Course n∞1 | Finale A"
"Tanguy Malingre","K1HM","115.44","438.09","438.22","Course n∞1 | Finale A"
"Noah Fresneda","K1HM","116.61","517.38","452.71","Course n∞1 | Finale A"
"Samuel Tahaafe","K1HM","120.06","580.66","495.46","Course n∞1 | Finale A"
"Arthur Pichancourt","K1HM","120.72","560.97","503.63","Course n∞1 | Finale A"
"Jules Latimier","K1HM","122.89","430.2","530.52","Course n∞1 | Finale A"
"Lucas Jamart","K1HM","142.37","668.3","771.87","Course n∞1 | Finale A"
"Tom Nerenhausen","K1HM","155","-","928.35","Course n∞1 | Finale A"
"Camille Hurez","C1D","138.15","436.67","439.31","Course n∞1 | Finale B"
"Margaux Barbier","C1D","138.17","517.62","439.52","Course n∞1 | Finale B"
"Heloise Pinon","C1D","180.26","634.93","874.09","Course n∞1 | Finale B"
"Lucas Correia","C1H","119.69","391.85","425.25","Course n∞1 | Finale B"
"Jean Christophe Boivin","C1H","122.34","486.01","456.52","Course n∞1 | Finale B"
"Guerlain Robin","C1H","124.89","457.29","486.62","Course n∞1 | Finale B"
"Aurelien Merieux Danneaux","C1H","125.53","472.85","494.16","Course n∞1 | Finale B"
"Angelino Castagnetti","C1H","129.58","528","541.96","Course n∞1 | Finale B"
"Erwan Rouch","C1H","130.66","585.51","554.7","Course n∞1 | Finale B"
"Gregory Menuat","C1H","131.29","509.71","562.13","Course n∞1 | Finale B"
"Baptist Besancon","C1H","136.05","627.41","618.29","Course n∞1 | Finale B"
"Sebastien Varin","C1H","137.79","-","638.84","Course n∞1 | Finale B"
"Boris Bonenfant","C1H","137.93","734.82","640.48","Course n∞1 | Finale B"
"Jacques Nardeau","C1H","138.74","570.94","650.04","Course n∞1 | Finale B"
"Antoine Paumier","C1H","138.79","625.39","650.63","Course n∞1 | Finale B"
"Antoine Pas","C1H","142.89","-","699.01","Course n∞1 | Finale B"
"Emrys Meddour","C1H","153.17","-","820.31","Course n∞1 | Finale B"
"Axel Ganthier","C1H","177.91","-","1112.23","Course n∞1 | Finale B"
"Djimy Kar","C1H","190.82","694.63","1264.56","Course n∞1 | Finale B"
"Dyclan Plessis","C1H","Dsq","-","-","Course n∞1 | Finale B"
"Loic Bourgeois","C1H","Nt","-","-","Course n∞1 | Finale B"
"Patrick Choiseau","C1H","Dsq","-","-","Course n∞1 | Finale B"
"Collin Pouradier","C1H","Abd","-","-","Course n∞1 | Finale B"
"Lucas Jamart","C1HM","138.52","816.66","647.45","Course n∞1 | Finale B"
"Stanislas Ledore","C1HM","144.72","739.65","720.61","Course n∞1 | Finale B"
"Arthur Pichancourt","C1HM","151.09","983.07","795.76","Course n∞1 | Finale B"
"Oscar Pasteur","C1HM","153.7","1097.21","826.56","Course n∞1 | Finale B"
"Samuel Tahaafe","C1HM","285.44","-","2381.06","Course n∞1 | Finale B"
"Antonin Dreit-Pierre Biagui","C2H","139.41","-","583.17","Course n∞1 | Finale B"
"Philippe Senechal-Xavier Rat","C2H","139.49","590.71","584.07","Course n∞1 | Finale B"
"Benjamin Dubert-Thomas Lesage","C2H","157.38","-","785.58","Course n∞1 | Finale B"
"Lucas Gamain-Gaetan Cornu","C2H","162.36","-","841.67","Course n∞1 | Finale B"
"Emrys Meddour-Cyprien Dufour","C2H","168.63","1714.43","912.29","Course n∞1 | Finale B"
"Jade Robin","K1D","134.59","312.63","488.64","Course n∞1 | Finale B"
"Marlene Dumoulin","K1D","135.01","446.29","493.25","Course n∞1 | Finale B"
"Delhia Petiot","K1D","145.45","-","607.71","Course n∞1 | Finale B"
"Heloise Pinon","K1D","154","723.49","701.45","Course n∞1 | Finale B"
"Perrine Venot","K1D","166.21","-","835.34","Course n∞1 | Finale B"
"Ludivine Jeanray","K1D","176.2","757.07","944.86","Course n∞1 | Finale B"
"Julie Guyot","K1D","183.38","-","1023.58","Course n∞1 | Finale B"
"Coralie Delmotte","K1D","196.39","692.05","1166.23","Course n∞1 | Finale B"
"Emilie Ballan","K1D","Des","-","-","Course n∞1 | Finale B"
"Camila Wagner","K1D","Dsq","-","-","Course n∞1 | Finale B"
"Charlotte Lubineau","K1D","Nt","-","-","Course n∞1 | Finale B"
"Zoe Laurent","K1DM","152.08","561.41","680.4","Course n∞1 | Finale B"
"Loane Da Rocha","K1DM","160.22","737.48","769.66","Course n∞1 | Finale B"
"Alice Joliat","K1DM","172.51","-","904.41","Course n∞1 | Finale B"
"Clara Hulin","K1DM","251.14","1270.55","1766.53","Course n∞1 | Finale B"
"Thomas Ukalovic","K1H","104.34","276.3","305.69","Course n∞1 | Finale B"
"Romain Bezies","K1H","111.03","366.29","388.58","Course n∞1 | Finale B"
"Basile Drapier","K1H","115.78","463.42","447.43","Course n∞1 | Finale B"
"Quentin Henri","K1H","115.99","530.05","450.03","Course n∞1 | Finale B"
"Gregory Ganthier","K1H","118.76","-","484.35","Course n∞1 | Finale B"
"Aymeric Dollat","K1H","119.16","475.61","489.31","Course n∞1 | Finale B"
"Xavier Rat","K1H","119.22","439.7","490.05","Course n∞1 | Finale B"
"Antoine Paumier","K1H","120.74","473.95","508.88","Course n∞1 | Finale B"
"Frederic Caillet","K1H","121.65","524.49","520.16","Course n∞1 | Finale B"
"Pierre Biagui","K1H","121.99","339.18","524.37","Course n∞1 | Finale B"
"Romain Caburol","K1H","122.46","571.72","530.19","Course n∞1 | Finale B"
"Philippe Piat","K1H","122.64","499.55","532.42","Course n∞1 | Finale B"
"Lucas Gamain","K1H","123.29","526.22","540.47","Course n∞1 | Finale B"
"Gerard Lafargue","K1H","123.89","502.66","547.91","Course n∞1 | Finale B"
"Djimy Kar","K1H","124.13","385.54","550.88","Course n∞1 | Finale B"
"Brian Bontems","K1H","126.22","932.97","576.78","Course n∞1 | Finale B"
"Emrys Meddour","K1H","126.41","616.59","579.13","Course n∞1 | Finale B"
"Charles Billon","K1H","127.55","530.63","593.25","Course n∞1 | Finale B"
"Axel Ganthier","K1H","128.3","488.95","602.55","Course n∞1 | Finale B"
"Leonard Soland","K1H","130.16","590.04","625.59","Course n∞1 | Finale B"
"Baptist Besancon","K1H","131.71","-","644.8","Course n∞1 | Finale B"
"Cyprien Dufour","K1H","133.67","592.54","669.08","Course n∞1 | Finale B"
"Yann Dhieux","K1H","136.04","589.43","698.44","Course n∞1 | Finale B"
"Joshua Ravet","K1H","136.81","812.61","707.98","Course n∞1 | Finale B"
"Theophile Vincent","K1H","137.07","831.58","711.2","Course n∞1 | Finale B"
"Kevin Jamart","K1H","140.13","-","749.12","Course n∞1 | Finale B"
"Flavien Portier","K1H","140.79","520.11","757.29","Course n∞1 | Finale B"
"Simon Guyot","K1H","141.33","-","763.98","Course n∞1 | Finale B"
"Eric Pouradier","K1H","148.05","717.39","847.24","Course n∞1 | Finale B"
"Ilan Foulongani","K1H","148.55","822.94","853.44","Course n∞1 | Finale B"
"Gaetan Cornu","K1H","148.6","948.8","854.06","Course n∞1 | Finale B"
"Loic Merat","K1H","151.43","-","889.12","Course n∞1 | Finale B"
"Paul Beteille","K1H","153.15","-","910.43","Course n∞1 | Finale B"
"Barnabe Sennelier","K1H","153.56","1619.56","915.51","Course n∞1 | Finale B"
"Gerald Oudin","K1H","157.56","774.05","965.07","Course n∞1 | Finale B"
"Bruno Brousselle","K1H","157.57","845.9","965.19","Course n∞1 | Finale B"
"Arnaud Geoffroy","K1H","198.01","-","1466.23","Course n∞1 | Finale B"
"Thibault Chausson","K1H","198.21","1008.36","1468.71","Course n∞1 | Finale B"
"Christophe Come","K1H","206.49","895.15","1571.29","Course n∞1 | Finale B"
"Alain Brucher","K1H","213.82","1353.3","1662.11","Course n∞1 | Finale B"
"Thomas Argenson","K1H","Dsq","-","-","Course n∞1 | Finale B"
"Paul Bornier","K1H","Nt","-","-","Course n∞1 | Finale B"
"Oscar Pasteur","K1HM","125.56","557.85","568.6","Course n∞1 | Finale B"
"Arnaud Caillet","K1HM","126.08","520.32","575.04","Course n∞1 | Finale B"
"Maxence Raymond","K1HM","139.57","1196.97","742.18","Course n∞1 | Finale B"
"Valentin Oudin","K1HM","151.79","-","893.58","Course n∞1 | Finale B"
"Clement Couvent","K1HM","157","-","958.13","Course n∞1 | Finale B"
"Aloys Morel","K1HM","174.45","-","1174.33","Course n∞1 | Finale B"
"Robin Le Mazurier","K1HM","Dsq","-","-","Course n∞1 | Finale B"
"Loann Delle Dananchet","K1HM","Nt","-","-","Course n∞1 | Finale B"
"Nicolas Bougnon","K1HM","Abd","-","-","Course n∞1 | Finale B"
