"SÈlectif rÈgional SLALOM & Championnat rÈgional SLALOM ""Grand Est"" - 88000 Epinal - Course n∞2 | Finale - 2019-10-06","Course n∞2 | Finale","2019-10-06","RÈgional","221"
"Heloise Stemmelen-Vivien Stemmelen","C2M","Des","-","-","Course n∞2 | Finale A"
"Quentin Maillefer-Kassandra Wagnier","C2MM","168.19","784.04","836.12","Course n∞2 | Finale A"
"Leo-paul Cassin-Justine Haton","C2MM","313.52","2136.63","2404.71","Course n∞2 | Finale A"
"Fanchon Janssen","K1D","100.49","102.84","172.61","Course n∞2 | Finale A"
"Viviana Daille","K1D","102.21","143.75","192.32","Course n∞2 | Finale A"
"Margot Perrin","K1D","107.03","289.83","247.57","Course n∞2 | Finale A"
"Camille Hurez","K1D","107.44","255.63","252.27","Course n∞2 | Finale A"
"Alexane Galmiche","K1D","107.84","180.61","256.85","Course n∞2 | Finale A"
"Angelique Guilcher","K1D","108.14","263.38","260.29","Course n∞2 | Finale A"
"Fransiska Granzow","K1D","109.37","322.25","274.39","Course n∞2 | Finale A"
"Maœa Gombert","K1D","110.19","260.07","283.79","Course n∞2 | Finale A"
"Anne-lise Moisan-ehrwein","K1D","115.16","324.81","340.76","Course n∞2 | Finale A"
"Anais Mouhoub","K1D","116.86","442.65","360.24","Course n∞2 | Finale A"
"Mae Bianco","K1D","117.6","321.22","368.72","Course n∞2 | Finale A"
"Tifenn Primet","K1D","117.98","389.49","373.07","Course n∞2 | Finale A"
"Pauline Clerc","K1D","124.5","433.39","447.81","Course n∞2 | Finale A"
"Mylene Guilcher","K1D","170.39","380.24","973.8","Course n∞2 | Finale A"
"Kassandra Wagnier","K1DM","139.53","835.07","620.08","Course n∞2 | Finale A"
"Marine Primet","K1DM","150.34","980.71","743.98","Course n∞2 | Finale A"
"Justine Haton","K1DM","151.06","633.16","752.23","Course n∞2 | Finale A"
"Claire Colin","K1DM","210.49","481.45","1433.41","Course n∞2 | Finale A"
"Corentin Monasse","K1H","83.3","107.15","99.7","Course n∞2 | Finale A"
"Djendy Simeant","K1H","87.04","150.16","148.14","Course n∞2 | Finale A"
"Jean Charles Hacquart","K1H","87.5","102.1","154.1","Course n∞2 | Finale A"
"Martin Daviet","K1H","88.59","78.26","168.21","Course n∞2 | Finale A"
"Lucas Galmiche","K1H","89.22","164.61","176.37","Course n∞2 | Finale A"
"Theo Reby","K1H","90.71","218.2","195.67","Course n∞2 | Finale A"
"Maxime Aubertin","K1H","91.76","184.86","209.27","Course n∞2 | Finale A"
"Jerome Olhagaray","K1H","92.83","242.58","223.13","Course n∞2 | Finale A"
"Alexis Pacholak","K1H","92.86","264.99","223.52","Course n∞2 | Finale A"
"Loric Bertrand Delorme","K1H","93.11","286.38","226.76","Course n∞2 | Finale A"
"Tanguy Malingre","K1H","93.39","187.43","230.38","Course n∞2 | Finale A"
"Baptiste Podor","K1H","93.65","438.14","233.75","Course n∞2 | Finale A"
"Anthony Rouhier","K1H","93.87","262.68","236.6","Course n∞2 | Finale A"
"Erwan Rouch","K1H","94.16","235.52","240.36","Course n∞2 | Finale A"
"Hugo Latimier","K1H","94.46","270.21","244.24","Course n∞2 | Finale A"
"Oskar Hillion","K1H","94.54","281.83","245.28","Course n∞2 | Finale A"
"Loœc Winiarski","K1H","94.78","138.39","248.39","Course n∞2 | Finale A"
"Paul Bostoen","K1H","96.44","235.54","269.89","Course n∞2 | Finale A"
"Benjamin Dodane","K1H","97.24","190.92","280.25","Course n∞2 | Finale A"
"Pierre Biagui","K1H","97.37","310.64","281.93","Course n∞2 | Finale A"
"Nathan Frison","K1H","97.76","345.88","286.98","Course n∞2 | Finale A"
"Leonard Painteaux","K1H","100.36","304.99","320.66","Course n∞2 | Finale A"
"Matthew Vuillard","K1H","102.38","371.62","346.82","Course n∞2 | Finale A"
"Damien Burteaux","K1H","102.82","405.24","352.52","Course n∞2 | Finale A"
"Gael Ettwiller","K1H","103.91","398.51","366.64","Course n∞2 | Finale A"
"Florent Tamburini","K1H","105.62","413.54","388.78","Course n∞2 | Finale A"
"Victor Henry","K1H","106.2","454.85","396.3","Course n∞2 | Finale A"
"Matthieu Koffel","K1H","107.81","274.38","417.15","Course n∞2 | Finale A"
"Antoine Paumier","K1H","108.32","448.27","423.75","Course n∞2 | Finale A"
"Nicolas Mangeolle","K1H","108.35","277.87","424.14","Course n∞2 | Finale A"
"Alexis Gombert","K1H","111.07","458.65","459.37","Course n∞2 | Finale A"
"Jules Latimier","K1H","112.64","479.52","479.71","Course n∞2 | Finale A"
"Lucas Latimier","K1H","133.24","69.82","746.52","Course n∞2 | Finale A"
"Jules Ferber","K1H","159.24","527.59","1083.27","Course n∞2 | Finale A"
"Salim Jemai","K1HM","104.65","370.36","376.22","Course n∞2 | Finale A"
"Romain Moret","K1HM","111.62","590.48","466.5","Course n∞2 | Finale A"
"Thibaut Boudier","K1HM","118.47","651.04","555.22","Course n∞2 | Finale A"
"Aurelien Cossin","K1HM","119.44","960.42","567.78","Course n∞2 | Finale A"
"Leo-paul Cassin","K1HM","121.28","555.52","591.61","Course n∞2 | Finale A"
"Ludovic Kessler","K1HM","123.02","734.93","614.15","Course n∞2 | Finale A"
"Leon Beyreuther","K1HM","123.81","1234.97","624.38","Course n∞2 | Finale A"
"Antoine Dusard","K1HM","127.39","782.01","670.75","Course n∞2 | Finale A"
"Adrien Dierstein","K1HM","130.29","770.31","708.31","Course n∞2 | Finale A"
"Quentin Dierstein","K1HM","138.39","734.18","813.22","Course n∞2 | Finale A"
"Noe Crapart","K1HM","140.66","648.77","842.62","Course n∞2 | Finale A"
"Luca Chapatte","K1HM","153.83","440.92","1013.2","Course n∞2 | Finale A"
"Zakaria Radouani","K1HM","349.05","817.7","3541.67","Course n∞2 | Finale A"
"Mylene Guilcher","C1D","140.01","928.06","536.97","Course n∞2 | Finale B"
"Camille Hurez","C1D","141.39","840.01","551.86","Course n∞2 | Finale B"
"Fransiska Granzow","C1D","145.25","501.29","593.53","Course n∞2 | Finale B"
"Celia Grandadam","C1D","158.54","830.43","736.97","Course n∞2 | Finale B"
"Melyne Jost","C1D","169.42","773.4","854.39","Course n∞2 | Finale B"
"Mae Bianco","C1D","234.49","486.33","1556.71","Course n∞2 | Finale B"
"Anais Mouhoub","C1D","253.9","506.96","1766.21","Course n∞2 | Finale B"
"Zoe Laurent","C1D","Abs","-","-","Course n∞2 | Finale B"
"Alexis Collin","C1H","115.87","436.94","455.07","Course n∞2 | Finale B"
"Oskar Hillion","C1H","117.18","594.33","471.24","Course n∞2 | Finale B"
"Claude Menissier","C1H","121.4","516.63","523.29","Course n∞2 | Finale B"
"Valentin Bostoen","C1H","123.39","546.18","547.83","Course n∞2 | Finale B"
"Jerome Olhagaray","C1H","128.52","592.63","611.12","Course n∞2 | Finale B"
"Anthony Rouhier","C1H","133.84","701.31","676.74","Course n∞2 | Finale B"
"Remy Perrin","C1H","134.43","784.79","684.02","Course n∞2 | Finale B"
"Alexis Pacholak","C1H","135.15","528.93","692.9","Course n∞2 | Finale B"
"Gael Ettwiller","C1H","135.74","761.89","700.17","Course n∞2 | Finale B"
"Timothee Foltz","C1H","136.73","828.23","712.39","Course n∞2 | Finale B"
"Matthieu Koffel","C1H","141.14","849.31","766.79","Course n∞2 | Finale B"
"Jules Ferber","C1H","143.47","737.21","795.53","Course n∞2 | Finale B"
"Oscar Pasteur","C1H","148.02","691.36","851.65","Course n∞2 | Finale B"
"Hugo Humbrecht","C1H","154.98","975.75","937.51","Course n∞2 | Finale B"
"Paul Bornier","C1H","234.81","591.72","1922.23","Course n∞2 | Finale B"
"Paul Gstalter","C1H","253.08","781.58","2147.59","Course n∞2 | Finale B"
"Guillaume Louis","C1H","276.41","1156.94","2435.37","Course n∞2 | Finale B"
"Leonard Painteaux","C1H","Abd","-","-","Course n∞2 | Finale B"
"Nathan Frison","C1H","Abs","-","-","Course n∞2 | Finale B"
"Thibaut Boudier","C1HM","131.93","734.64","653.19","Course n∞2 | Finale B"
"Adrien Dierstein","C1HM","140.68","865.23","761.11","Course n∞2 | Finale B"
"Teo Vidoni","C1HM","144.32","887.31","806.02","Course n∞2 | Finale B"
"Teo Mullerheddar","C1HM","147.49","836.61","845.12","Course n∞2 | Finale B"
"Leo-paul Cassin","C1HM","151.33","1290.99","892.48","Course n∞2 | Finale B"
"Maxime Paumier","C1HM","154.58","841","932.57","Course n∞2 | Finale B"
"Aaron Parcellier","C1HM","208.31","2238.22","1595.33","Course n∞2 | Finale B"
"Emilien Kempf-Alexis Collin","C2H","117.31","540.98","407.06","Course n∞2 | Finale B"
"Lucas Latimier-Corentin Monasse","C2H","Dsq","-","-","Course n∞2 | Finale B"
"Maxime Aubertin-Paul Aubertin","C2H","Abs","-","-","Course n∞2 | Finale B"
"Emmy Tamburini-Thomas Danjou","C2M","307.65","1267.95","2346.35","Course n∞2 | Finale B"
"Anne-lise Moisan-ehrwein-Yoan Del Rey","C2M","Abs","-","-","Course n∞2 | Finale B"
"Alexis Gombert-Nathalie Latimier Ragot","C2M","Abs","-","-","Course n∞2 | Finale B"
"Charlotte Abba","K1D","118.45","922.73","383.46","Course n∞2 | Finale B"
"Lucille Meunier-cheyssac","K1D","125.05","374.53","459.11","Course n∞2 | Finale B"
"Celia Grandadam","K1D","127.58","461.47","488.11","Course n∞2 | Finale B"
"Jessica Joyau","K1D","129.86","894.66","514.24","Course n∞2 | Finale B"
"Fiona Gille","K1D","144.8","594.52","685.49","Course n∞2 | Finale B"
"Kelly Capitaine","K1D","146.45","662.66","704.4","Course n∞2 | Finale B"
"Marlene Dumoulin","K1D","148.36","555.8","726.29","Course n∞2 | Finale B"
"Melyne Jost","K1D","148.6","495.42","729.03","Course n∞2 | Finale B"
"Heloise Stemmelen","K1D","165.46","748.6","922.29","Course n∞2 | Finale B"
"Audrey Masson","K1D","174.24","845.25","1022.92","Course n∞2 | Finale B"
"Jade Robin","K1D","176.92","530.89","1053.63","Course n∞2 | Finale B"
"Lucie Lemaire","K1D","203.36","1031.23","1356.69","Course n∞2 | Finale B"
"Emmy Tamburini","K1D","214.16","624.54","1480.48","Course n∞2 | Finale B"
"Carole Dolmaire","K1D","217.11","690.26","1514.29","Course n∞2 | Finale B"
"Lola Malais…","K1DM","177.21","872.86","1056.96","Course n∞2 | Finale B"
"Satine Meranger","K1DM","232.03","845.35","1685.3","Course n∞2 | Finale B"
"Louison Da Costa","K1DM","582.03","5457.3","5696.96","Course n∞2 | Finale B"
"Jules Bevalot","K1H","88.98","211.11","178.26","Course n∞2 | Finale B"
"Antonin Robert","K1H","96.32","224.66","273.33","Course n∞2 | Finale B"
"Arnaud Caillet","K1H","103.37","506.48","364.64","Course n∞2 | Finale B"
"Dyclan Plessis","K1H","107.39","430.85","416.71","Course n∞2 | Finale B"
"Remy Perrin","K1H","107.61","499.34","419.56","Course n∞2 | Finale B"
"Thomas Descotes","K1H","108","489.21","424.61","Course n∞2 | Finale B"
"Christophe Siffert","K1H","109.28","411.38","441.19","Course n∞2 | Finale B"
"Smail Mouhoub","K1H","109.6","443.79","445.33","Course n∞2 | Finale B"
"Olivier Urbain","K1H","111.03","456.81","463.85","Course n∞2 | Finale B"
"Oscar Pasteur","K1H","114.94","518.12","514.5","Course n∞2 | Finale B"
"Loann Delle Dananchet","K1H","115.01","387.84","515.4","Course n∞2 | Finale B"
"Patrick Gass","K1H","115.23","518.06","518.25","Course n∞2 | Finale B"
"Thibault Rouanet","K1H","115.54","613.74","522.27","Course n∞2 | Finale B"
"Paul Bornier","K1H","120.98","732.76","592.73","Course n∞2 | Finale B"
"Gauthier Principaud","K1H","121.95","574.5","605.29","Course n∞2 | Finale B"
"Paul Gstalter","K1H","122.6","474.08","613.71","Course n∞2 | Finale B"
"Timothee Foltz","K1H","125.6","585.8","652.56","Course n∞2 | Finale B"
"Patrick Thevenin","K1H","127.01","702.03","670.83","Course n∞2 | Finale B"
"Alexis Sevrez","K1H","127.67","515.91","679.37","Course n∞2 | Finale B"
"Kenzo Garnier","K1H","130.57","726.84","716.93","Course n∞2 | Finale B"
"Gabin Beraud","K1H","134.01","787.38","761.49","Course n∞2 | Finale B"
"Philipp Hector","K1H","135.91","661.81","786.1","Course n∞2 | Finale B"
"Maxence Raymond","K1H","143.06","697.03","878.7","Course n∞2 | Finale B"
"Thomas Danjou","K1H","143.12","829.53","879.48","Course n∞2 | Finale B"
"Cyril Bonmarchand","K1H","149.13","596.11","957.32","Course n∞2 | Finale B"
"Robin Pottelette","K1H","158.15","108.74","1074.15","Course n∞2 | Finale B"
"Pierre-louis Combot","K1H","159.17","1542.09","1087.36","Course n∞2 | Finale B"
"Valentin Bostoen","K1H","163.51","505.82","1143.57","Course n∞2 | Finale B"
"Aloys Morel","K1H","172.52","796.81","1260.27","Course n∞2 | Finale B"
"Tom Raynaud","K1H","176.74","527.85","1314.92","Course n∞2 | Finale B"
"Robin Giurlando","K1H","178.46","613.83","1337.2","Course n∞2 | Finale B"
"Guillaume Louis","K1H","205.3","799.7","1684.83","Course n∞2 | Finale B"
"Est…ban Esposito","K1H","Abs","-","-","Course n∞2 | Finale B"
"Aaron Parcellier","K1HM","143.42","791.7","883.37","Course n∞2 | Finale B"
"Simon Bouchot","K1HM","145.86","1061.03","914.97","Course n∞2 | Finale B"
"Alexandre Paumier","K1HM","147.9","1007.6","941.39","Course n∞2 | Finale B"
"Teo Mullerheddar","K1HM","148.82","755.28","953.31","Course n∞2 | Finale B"
"Gabriel Hubert","K1HM","156.07","1184.34","1047.21","Course n∞2 | Finale B"
"Teo Vidoni","K1HM","179.96","647.67","1356.63","Course n∞2 | Finale B"
"Julien Tassotti","K1HM","193.84","848.61","1536.4","Course n∞2 | Finale B"
"Jules Dolisy","K1HM","206.07","1505.9","1694.8","Course n∞2 | Finale B"
"Lukas Maraquin","K1HM","225.48","1245.31","1946.2","Course n∞2 | Finale B"
"Achille Napoli","K1HM","264.76","941.17","2454.95","Course n∞2 | Finale B"
"Victor Scheffzek","K1HM","281.11","770.43","2666.72","Course n∞2 | Finale B"
"Mathys Henry","K1HM","412.92","1221.02","4373.91","Course n∞2 | Finale B"
"Emile Babel","K1HM","468.95","1186.76","5099.61","Course n∞2 | Finale B"
