"SÈlectif RÈgional de Slalom - Quai De L'ill SÈlestat - Course 2 - Finale - 2016-03-20","Course 2 - Finale","2016-03-20","RÈgional","190"
"Gilles Schweitzer-Loic Sieber","C2H","120.81","-","464.11","Course 2 - Finale A"
"Titouan Auriol-Dyclan Plessis","C2H","142.73","-","724.38","Course 2 - Finale A"
"Arthur Dupont-Axel Godard","C2H","146.78","-","772.45","Course 2 - Finale A"
"Vincent Chamois-Hugo Gondeaux","C2H","159.47","-","923.13","Course 2 - Finale A"
"Romain Aubry-Bastien Delaubier","C2H","200.5","-","1410.29","Course 2 - Finale A"
"Noe Monier-Benjamin Guyon","C2HM","164.63","-","984.4","Course 2 - Finale A"
"Christophe Billaud-Elodie Delavelle","C2M","132.88","367.01","475.94","Course 2 - Finale A"
"Timothee Olla-Eva Monier","C2M","137.88","-","530.36","Course 2 - Finale A"
"Maeva Auriol-Charles Billon","C2M","202.64","-","1235.2","Course 2 - Finale A"
"Jihane Samlal","K1D","106.21","192.48","257.28","Course 2 - Finale A"
"Angelique Guilcher","K1D","109.74","195.76","298.08","Course 2 - Finale A"
"Anna Wider","K1D","110.39","321.79","305.6","Course 2 - Finale A"
"Celia Grandadam","K1D","114.65","323.31","354.83","Course 2 - Finale A"
"Alice Evlachev","K1D","115.96","382.86","369.97","Course 2 - Finale A"
"Zoe Bruchon","K1D","116.13","317.6","371.94","Course 2 - Finale A"
"Marie Hilger","K1D","117.6","353.29","388.93","Course 2 - Finale A"
"Cecile Meichel","K1D","123.56","480.72","457.81","Course 2 - Finale A"
"Maeva Auriol","K1D","129.27","448.47","523.81","Course 2 - Finale A"
"Solene Grenier","K1DM","122.24","-","442.56","Course 2 - Finale A"
"Lolita Seguy","K1DM","122.35","-","443.82","Course 2 - Finale A"
"Solen Friconneau","K1DM","133.12","-","568.3","Course 2 - Finale A"
"Mylene Guilcher","K1DM","186.77","-","1188.39","Course 2 - Finale A"
"Eva Klipfel","K1DM","190.43","-","1230.69","Course 2 - Finale A"
"Florient Tagnon","K1H","93.71","230.86","253.61","Course 2 - Finale A"
"Joris Schaffner","K1H","93.9","265.42","256.09","Course 2 - Finale A"
"Guilhem Douillet","K1H","95.16","265.88","272.55","Course 2 - Finale A"
"Erwan Rouch","K1H","96.05","208.45","284.17","Course 2 - Finale A"
"Alexis Caspar","K1H","97.04","299.86","297.1","Course 2 - Finale A"
"Simon Hene","K1H","97.09","223.27","297.76","Course 2 - Finale A"
"Jean Philippe Winiarski","K1H","97.17","195.56","298.8","Course 2 - Finale A"
"Benjamin Dodane","K1H","98.12","313.63","311.21","Course 2 - Finale A"
"Damien Burteaux","K1H","98.28","352.77","313.3","Course 2 - Finale A"
"Dirk Fuhrmann","K1H","99.78","-","332.89","Course 2 - Finale A"
"Christophe Siffert","K1H","100.4","354.59","340.99","Course 2 - Finale A"
"Mathieu Monier","K1H","102.26","207.68","365.28","Course 2 - Finale A"
"Florent Tamburini","K1H","104.03","317.36","388.4","Course 2 - Finale A"
"Olivier Hardonniere","K1H","104.79","316.5","398.32","Course 2 - Finale A"
"Yann Zaepffel","K1H","104.94","258.9","400.28","Course 2 - Finale A"
"Loic Sieber","K1H","105.49","-","407.46","Course 2 - Finale A"
"William Boutet","K1H","105.87","382.95","412.43","Course 2 - Finale A"
"Thomas Michel","K1H","106.01","391.23","414.26","Course 2 - Finale A"
"Anthony Ulrich","K1H","106.91","305.03","426.01","Course 2 - Finale A"
"Justin Potier","K1H","107.85","466.27","438.29","Course 2 - Finale A"
"Pascal Philip","K1H","108.24","408.53","443.38","Course 2 - Finale A"
"Loic Joly","K1H","108.26","313.8","443.64","Course 2 - Finale A"
"Arthur Dupont","K1H","108.42","437.38","445.73","Course 2 - Finale A"
"Benjamin Hene","K1H","109.43","387.52","458.92","Course 2 - Finale A"
"Dyclan Plessis","K1H","109.88","395.16","464.8","Course 2 - Finale A"
"Gilles Barthelemy","K1H","110.54","522.71","473.42","Course 2 - Finale A"
"Louis Pein","K1H","111.28","385.09","483.08","Course 2 - Finale A"
"Philippe Potier","K1H","112.3","479.03","496.41","Course 2 - Finale A"
"Gerard Menissier","K1H","112.77","536.31","502.54","Course 2 - Finale A"
"Loric Bertrand Delorme","K1H","114.79","506.89","528.93","Course 2 - Finale A"
"Djimy Kar","K1H","115.16","373.22","533.76","Course 2 - Finale A"
"Philippe Koffel","K1H","115.16","576.24","533.76","Course 2 - Finale A"
"Nicolas Castagnetti","K1H","115.24","426.19","534.8","Course 2 - Finale A"
"Antoine Wolff","K1H","117.08","-","558.84","Course 2 - Finale A"
"Hugo Gondeaux","K1H","117.14","479","559.62","Course 2 - Finale A"
"Nicolas Gallais","K1H","118.53","528.15","577.77","Course 2 - Finale A"
"Axel Godard","K1H","121.02","537.07","610.29","Course 2 - Finale A"
"Julien Saguet","K1H","147.54","318.9","956.66","Course 2 - Finale A"
"Nathan Barbier","K1H","147.84","274.31","960.58","Course 2 - Finale A"
"Charles Fernandes De Oliveira","K1H","151.98","261.13","1014.65","Course 2 - Finale A"
"Jean Charles Hacquart","K1HM","103.99","-","387.87","Course 2 - Finale A"
"Loœc Winiarski","K1HM","105.22","-","403.94","Course 2 - Finale A"
"Paul Bostoen","K1HM","109.72","-","462.71","Course 2 - Finale A"
"Noe Monier","K1HM","113.42","-","511.03","Course 2 - Finale A"
"Pitt Rohrer","K1HM","116.68","-","553.61","Course 2 - Finale A"
"Loic Petel","K1HM","119.01","-","584.04","Course 2 - Finale A"
"Loic Trenchant","K1HM","122.03","-","623.48","Course 2 - Finale A"
"Matheo Dejonghe","K1HM","123.11","647.3","637.59","Course 2 - Finale A"
"Antonin Robert","K1HM","124.39","-","654.31","Course 2 - Finale A"
"Jules Latimier","K1HM","125.56","-","669.59","Course 2 - Finale A"
"Benjamin Guyon","K1HM","128.07","-","702.37","Course 2 - Finale A"
"Anthony Menissier","K1HM","128.64","-","709.81","Course 2 - Finale A"
"Mohamed Saœd Bekkadour","K1HM","130.61","-","735.54","Course 2 - Finale A"
"Laurel Hartmann","K1HM","134.67","-","788.57","Course 2 - Finale A"
"Celia Grandadam","C1D","135.7","513.3","511.63","Course 2 - Finale B"
"Alice Evlachev","C1D","156.45","-","737.47","Course 2 - Finale B"
"Sophie Staudt","C1D","Abd","-","-","Course 2 - Finale B"
"Pierre Biagui","C1H","128.37","771.02","631.45","Course 2 - Finale B"
"Alexandre Diemert","C1H","128.65","-","634.94","Course 2 - Finale B"
"Christophe Billaud","C1H","129.71","607.9","648.11","Course 2 - Finale B"
"Arthur Dupont","C1H","131.65","774.45","672.25","Course 2 - Finale B"
"Bairaun Catteau","C1H","135.13","705.68","715.53","Course 2 - Finale B"
"Leo Peter","C1H","135.92","701.17","725.37","Course 2 - Finale B"
"Theo Maillier","C1H","140.99","-","788.42","Course 2 - Finale B"
"Benjamin Hene","C1H","145.52","-","844.77","Course 2 - Finale B"
"Axel Godard","C1H","146.41","960.22","855.84","Course 2 - Finale B"
"Antoine Wolff","C1H","151.78","-","922.63","Course 2 - Finale B"
"Angelino Castagnetti","C1H","203.08","822.13","1560.74","Course 2 - Finale B"
"Anthony Dubois","C1H","Abd","-","-","Course 2 - Finale B"
"Jules Latimier","C1HM","133.6","867.37","696.5","Course 2 - Finale B"
"Loœc Winiarski","C1HM","134.33","-","705.58","Course 2 - Finale B"
"Loic Trenchant","C1HM","134.41","-","706.59","Course 2 - Finale B"
"Laurel Hartmann","C1HM","150.4","-","905.47","Course 2 - Finale B"
"Jeanne Bernard","K1D","124.96","530.13","478.99","Course 2 - Finale B"
"Sophie Staudt","K1D","126.46","415.23","496.34","Course 2 - Finale B"
"Margot Perrin","K1D","129.6","494.07","532.62","Course 2 - Finale B"
"Emma Vaubourg","K1D","130.56","445.33","543.72","Course 2 - Finale B"
"Justine Clerc","K1D","131.97","549.9","560.02","Course 2 - Finale B"
"Estelle Mayer","K1D","134.9","569.7","593.89","Course 2 - Finale B"
"Margaux Mourlon","K1D","145.87","1024.66","720.68","Course 2 - Finale B"
"Eva Guillaumot","K1D","162.55","2355.1","913.47","Course 2 - Finale B"
"Manon Louis","K1D","187.48","1008.26","1201.59","Course 2 - Finale B"
"Lucille Meunier-cheyssac","K1DM","157.52","-","855.32","Course 2 - Finale B"
"Margaux Cornet","K1DM","181.47","-","1132.14","Course 2 - Finale B"
"Maœa Gombert","K1DM","185.22","-","1175.47","Course 2 - Finale B"
"Agathe Caillet","K1DM","186.53","-","1190.62","Course 2 - Finale B"
"Lola Millot","K1DM","191.75","-","1250.95","Course 2 - Finale B"
"Maxime Di Lauro","K1H","94.05","206.89","263.05","Course 2 - Finale B"
"Patrice Campioni","K1H","101.87","301.18","365.18","Course 2 - Finale B"
"Jean Pierre Latimier","K1H","110.75","-","481.16","Course 2 - Finale B"
"Antoine Pas","K1H","111.02","463.36","484.69","Course 2 - Finale B"
"David Pierson","K1H","111.85","597.81","495.53","Course 2 - Finale B"
"Jean-baptiste Wolff","K1H","113.01","-","510.68","Course 2 - Finale B"
"Pierre Biagui","K1H","113.78","526.92","520.74","Course 2 - Finale B"
"Samuel Gerard","K1H","115.97","546.01","549.34","Course 2 - Finale B"
"Charles Culine","K1H","115.99","590.93","549.6","Course 2 - Finale B"
"Yael Leleu","K1H","116.12","469.57","551.3","Course 2 - Finale B"
"Come Champurney","K1H","117.33","596.73","567.1","Course 2 - Finale B"
"Andre Gaschler","K1H","118.76","685.54","585.78","Course 2 - Finale B"
"Bairaun Catteau","K1H","121.82","581.5","625.74","Course 2 - Finale B"
"Titouan Auriol","K1H","122.99","472.58","641.02","Course 2 - Finale B"
"Louis Gasser","K1H","123.92","788.69","653.17","Course 2 - Finale B"
"Lois Pignon","K1H","125","653.82","667.27","Course 2 - Finale B"
"Pierre Ferrand","K1H","126.28","-","683.99","Course 2 - Finale B"
"Quentin Decotte","K1H","129.74","772.11","729.18","Course 2 - Finale B"
"Lucas Matkovic","K1H","130.31","-","736.63","Course 2 - Finale B"
"Eric Louis","K1H","130.4","752.4","737.8","Course 2 - Finale B"
"Angelino Castagnetti","K1H","131.36","766.63","750.34","Course 2 - Finale B"
"Alexis Loiseau","K1H","134.75","598.26","794.61","Course 2 - Finale B"
"Kevin Vienny","K1H","136.27","775.73","814.47","Course 2 - Finale B"
"Arthur Zanco","K1H","137.59","1005.04","831.71","Course 2 - Finale B"
"Michel Bert","K1H","140.07","877.8","864.1","Course 2 - Finale B"
"Valentin Capel","K1H","141.32","1714.09","880.42","Course 2 - Finale B"
"Damien Guillon","K1H","142.1","-","890.61","Course 2 - Finale B"
"Sylvain Lozach","K1H","142.39","-","894.4","Course 2 - Finale B"
"Charles Billon","K1H","144.98","1080.89","928.22","Course 2 - Finale B"
"Joshua Ravet","K1H","147.3","-","958.52","Course 2 - Finale B"
"Anthony Dubois","K1H","148.58","1117.11","975.24","Course 2 - Finale B"
"Alexis Sevrez","K1H","164.61","1162.43","1184.6","Course 2 - Finale B"
"Felix Jobard","K1H","167.88","-","1227.31","Course 2 - Finale B"
"David Monnet","K1H","172.06","-","1281.9","Course 2 - Finale B"
"Vincent Chamois","K1H","180.29","655.93","1389.39","Course 2 - Finale B"
"Bastien Delaubier","K1H","194.05","-","1569.1","Course 2 - Finale B"
"Romain Aubry","K1H","200.78","-","1657","Course 2 - Finale B"
"Stephane Cassin","K1H","274.03","-","2613.68","Course 2 - Finale B"
"Victoryan Krahenbuhl","K1H","359.37","-","3728.27","Course 2 - Finale B"
"Vivien Stemmelen","K1HM","126.17","-","682.56","Course 2 - Finale B"
"Constant Jeandon","K1HM","129.81","-","730.1","Course 2 - Finale B"
"Matthew Vuillard","K1HM","134.19","-","787.3","Course 2 - Finale B"
"Danil Buneev","K1HM","138.47","-","843.2","Course 2 - Finale B"
"Hugo Andres","K1HM","139.89","-","861.75","Course 2 - Finale B"
"Tanguy Malingre","K1HM","141.28","-","879.9","Course 2 - Finale B"
"Stanislas Ledore","K1HM","142.93","-","901.45","Course 2 - Finale B"
"Hugo Humbrecht","K1HM","144.76","-","925.35","Course 2 - Finale B"
"Theophile Didierjean","K1HM","149.33","-","985.04","Course 2 - Finale B"
"Oscar Pasteur","K1HM","150.39","-","998.88","Course 2 - Finale B"
"Raphael Benmimoune","K1HM","153.08","-","1034.01","Course 2 - Finale B"
"Matthieu Koffel","K1HM","156.86","-","1083.38","Course 2 - Finale B"
"Robin Giurlando","K1HM","225.17","-","1975.55","Course 2 - Finale B"
"Mehdi Moumen","K1HM","263.65","-","2478.11","Course 2 - Finale B"
